source;target
fellspeciall;NA
nnwjy;NA
hanamaasa;NA
bao_shasha;NA
MWahyuningtiyas;NA
ZayyBigwin;NA
peatesbread;NA
bao_shasha;NA
pohan_audina;NA
afrogarito;NA
RimaTriMaylani;NA
NanaSha83705384;NA
whocar3s__;NA
bwgrg2;NA
pzzlepiecee_;NA
bao_shasha;NA
gadeuli;NA
Kikuyyyyyyyyyy;NA
lolliphone;NA
TXTJXJ;NA
nafisahnrmfd;NA
titiwwww;NA
iniiiiiiakuuu;NA
NovieAuliaJ;NA
Putrisulistiya_;NA
KimiMyesha;NA
titiwwww;NA
Jaeniusfriend;NA
itilodonn;NA
TXTJXJ;NA
byanaka_;NA
gendisdailyshop;NA
dhtmwln;NA
moonchildwife;NA
bidadarikocakkk;NA
andararadeya;NA
nadiahsalmaf;NA
iyainikiaa;NA
nadiahsalmaf;NA
kinantiananda1;NA
Haniftkhr;NA
doddy_mars;NA
jawapos;NA
larasati_nikken;NA
RimbaSasa;NA
debbyrahmalia;NA
Anggiiww;NA
Aquariuslia1;NA
calonnyahabibie;NA
RimbaSasa;NA
rahmasinai;NA
dfnsjuni;NA
hyooo78;NA
Febriya37407408;NA
rizkyrahmaawati;NA
chill2win;NA
Febriya37407408;NA
FahrulJan;NA
Yyyzuuu1;NA
FahriskaH;NA
jaecityyxx;NA
jaecityyxx;NA
yourxra;NA
cleavibe;NA
ebi_efendi;NA
danielraamli;NA
JENO32SOS;NA
jakeys4me;NA
6311ejen;NA
igehboyyahh;NA
AileenjungS;NA
AileenjungS;NA
vegyystudy;NA
rahmisnn;NA
Awwyixing;NA
Aaprilbts;NA
adninrys;bertanyarl
sozializers;sozializers
doddy_mars;NA
croissantliquor;NA
mimikemucii;AREAJULID
indaaahood;NA
zhaaaika;NA
Philgroup1;NA
Philgroup1;NA
KurniawanRicho;NA
TeriguEmpleng;AREAJULID
DessyIn04852623;NA
SMaspuroh;NA
nochlyss;NA
onmorkleee;NA
anggimaurilla;NA
khaidirali_;NA
avocadofgr;NA
found_her;nimasarumm
gelaato0;NA
retakk__;NA
ddohyeok;NA
menyucu;NA
milkieywayz;NA
CartmanHeidi;NA
Terariniy;NA
sucisuc_;NA
chaerabbithyun;NA
ZaidarRM;NA
skuzyfy;NA
ZaidarRM;NA
donatmani;AREAJULID
MeldaaMei29;NA
amorfati_88;NA
taeilliemoon;NA
nowanlaikyu;NA
rereisayunita;NA
xxnsavv;NA
Heraloebss;NA
YesiGunawati;NA
CartmanHeidi;NA
udehcantek;NA
Vikachuble;NA
tukangrebahan;NA
ShineCr;NA
05pm__xx;AREAJULID
natasyaapr;NA
chituull;NA
_socurious;NA
CartmanHeidi;NA
risma_maulanda;NA
pacarnyaridwan;AREAJULID
callmeavv;AREAJULID
schatkyle;bertanyarl
irmaaaaaaaaaaa_;NA
bedddx;bertanyarl
bertanyarl;NA
Faaa_isa;Mirara21
doddy_mars;NA
twinkledazzl3;NA
e;tsyxxxz
txtdariprince;barabye_
Tiongkok_army;NA
scrollegg;NA
barabye_;NA
mawciato;NA
todayisdevi;NA
sundari_M;NA
myarea_h;NA
rohjeongeuihyun;NA
AmyUnited94;NA
AmyUnited94;NA
aukyu_CKH;NA
Yulian07574692;NA
si__sambat;NA
PenulisMalam94;NA
si__sambat;AREAJULID
MeilinaZeli;NA
biasaxaja;mysweetypretty
frns_xaverius;NA
linetoday;NA
upillaler;urrname__
simungilcantik_;NA
salsaauliaaaaa;NA
auuwoo;AREAJULID
crush____on_u;NA
shitpil;AREAJULID
salsaauliaaaaa;AREAJULID
saturdaybluesky;NA
sugarberbi;NA
makLambeTurah;NA
Fazabungaz;NA
akutusiapalah;AREAJULID
kimchikuu;NA
akut;AREAJULID
enhyfaen;NA
cupnaughtea;AREAJULID
SadnessAndSor13;AREAJULID
